entity_id,type,illustration,portrait,icon,sd_pack,animation,vfx,map_pawn,battle_integration,story_integration,stage_integration,fallback_used,qa_status
CH01-H05,STAGE_HARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_3
SCN_CH01_INTRO,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_CH01_MID_A,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_CH01_MID_B,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_CH01_MID_C,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_CH01_OUTRO,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_CH01_PREBOSS,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_PROLOGUE,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_REL_IRI,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
SCN_REL_MAERU,SCENARIO,PARTIAL,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,PARTIAL,FALSE,SCENARIO_JSON_VALID
