card_id,profile_group,effect,base_asset_id,accent_asset_id
SK_CHR015_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_walther_ppq_x_31p,audio_sfx_bang_bang_06
SK_CHR018_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_ar15_d_32p,audio_sfx_bang_bang_06
SK_CHR018_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ak47_c_28p,audio_sfx_bang_bang_06
SK_CHR019_NORMAL,DAMAGE,DEBUFF,audio_sfx_firearm_tikka_w_24p,audio_sfx_bang_bang_06
SK_CHR020_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_sks_u_14p,audio_sfx_bang_bang_06
SK_CHR020_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_nova_o_21p,audio_sfx_bang_bang_06
SK_CHR022_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_model12_k_17p,audio_sfx_bang_bang_06
SK_CHR022_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ak47_burst_c_29p,audio_sfx_bang_bang_06
SK_CHR023_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_m45_burst_g_33p,audio_sfx_bang_bang_06
SK_CHR023_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_ppsh_burst_p_32p,audio_sfx_bang_bang_06
SK_CHR024_NORMAL,DAMAGE,DEBUFF,audio_sfx_firearm_savage300_t_27p,audio_sfx_bang_bang_06
SK_CHR026_NORMAL,DAMAGE,DAMAGE,audio_sfx_bang_cannon_01,audio_sfx_bang_bang_06
SK_CHR026_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_bang_cannon_02,audio_sfx_bang_bang_06
SK_CHR027_NORMAL,DAMAGE,DEBUFF,audio_sfx_bang_cannon_03,audio_sfx_bang_bang_06
SK_CHR028_NORMAL,DAMAGE,DAMAGE,audio_sfx_bang_cannon_04,audio_sfx_bang_bang_06
SK_CHR028_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_bang_cannon_05,audio_sfx_bang_bang_06
SK_CHR030_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_1911_a_42p,audio_sfx_bang_bang_07
SK_CHR030_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_walther_ppq_x_31p,audio_sfx_bang_bang_07
SK_CHR032_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_ar15_d_32p,audio_sfx_bang_bang_07
SK_CHR032_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ak47_c_28p,audio_sfx_bang_bang_07
SK_CHR033_NORMAL,DAMAGE,DEBUFF,audio_sfx_firearm_tikka_w_24p,audio_sfx_bang_bang_07
SK_CHR035_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_sks_u_14p,audio_sfx_bang_bang_07
SK_CHR035_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_nova_o_21p,audio_sfx_bang_bang_07
SK_CHR037_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_model12_k_17p,audio_sfx_bang_bang_07
SK_CHR037_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ak47_burst_c_29p,audio_sfx_bang_bang_07
SK_CHR038_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_m45_burst_g_33p,audio_sfx_bang_bang_07
SK_CHR038_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ppsh_burst_p_32p,audio_sfx_bang_bang_07
SK_CHR039_NORMAL,DAMAGE,DEBUFF,audio_sfx_firearm_savage300_t_27p,audio_sfx_bang_bang_07
SK_CHR041_NORMAL,DAMAGE,DAMAGE,audio_sfx_bang_cannon_01,audio_sfx_bang_bang_07
SK_CHR041_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_bang_cannon_02,audio_sfx_bang_bang_07
SK_CHR042_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_bang_cannon_03,audio_sfx_bang_bang_07
SK_CHR042_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_bang_cannon_04,audio_sfx_bang_bang_07
SK_CHR044_NORMAL,DAMAGE,DAMAGE,audio_sfx_bang_cannon_05,audio_sfx_bang_bang_07
SK_CHR044_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_1911_a_42p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS001:IMPLODE,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_walther_ppq_x_31p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS001:RUPTURE,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_ar15_d_32p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS002:RESONANCE,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_ak47_c_28p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS003:LOCK_ON,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_tikka_w_24p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS003:OVERLOAD,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_sks_u_14p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS004:GATE_REVERSE,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_nova_o_21p,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS005:NETWORK_COLLAPSE,DAMAGE,BOSS_PATTERN,audio_sfx_firearm_model12_k_17p,audio_sfx_bang_bang_08
SK_CHR001_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_fw_01,audio_sfx_bang_bang_05
SK_CHR001_ULTIMATE,SUPPORT,SHIELD,audio_sfx_bang_fw_02,audio_sfx_bang_bang_05
SK_CHR007_NORMAL,SUPPORT,SHIELD,audio_sfx_bang_fw_03,audio_sfx_bang_bang_05
SK_CHR007_ULTIMATE,SUPPORT,BUFF,audio_sfx_bang_fw_04,audio_sfx_bang_bang_05
SK_CHR008_NORMAL,SUPPORT,HEAL,audio_sfx_bang_fw_05,audio_sfx_bang_bang_05
SK_CHR008_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_fw_06,audio_sfx_bang_bang_05
SK_CHR010_NORMAL,SUPPORT,HEAL,audio_sfx_bang_shot_01,audio_sfx_bang_bang_05
SK_CHR010_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_shot_02,audio_sfx_bang_bang_05
SK_CHR012_ULTIMATE,SUPPORT,BUFF,audio_sfx_bang_shot_03,audio_sfx_bang_bang_05
SK_CHR013_NORMAL,SUPPORT,TAUNT,audio_sfx_impact_metal_hit_03,audio_sfx_bang_bang_05
SK_CHR013_ULTIMATE,SUPPORT,SHIELD,audio_sfx_impact_metal_hit_05,audio_sfx_bang_bang_05
SK_CHR016_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_fw_01,audio_sfx_bang_bang_06
SK_CHR016_ULTIMATE,SUPPORT,SHIELD,audio_sfx_bang_fw_02,audio_sfx_bang_bang_06
SK_CHR017_NORMAL,SUPPORT,HEAL,audio_sfx_bang_fw_03,audio_sfx_bang_bang_06
SK_CHR017_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_fw_04,audio_sfx_bang_bang_06
SK_CHR019_ULTIMATE,SUPPORT,BUFF,audio_sfx_bang_fw_05,audio_sfx_bang_bang_06
SK_CHR021_NORMAL,SUPPORT,HEAL,audio_sfx_bang_fw_06,audio_sfx_bang_bang_06
SK_CHR021_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_shot_01,audio_sfx_bang_bang_06
SK_CHR024_ULTIMATE,SUPPORT,BUFF,audio_sfx_bang_shot_02,audio_sfx_bang_bang_06
SK_CHR025_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_shot_03,audio_sfx_bang_bang_06
SK_CHR025_ULTIMATE,SUPPORT,SHIELD,audio_sfx_impact_metal_hit_03,audio_sfx_bang_bang_06
SK_CHR027_ULTIMATE,SUPPORT,BUFF,audio_sfx_impact_metal_hit_05,audio_sfx_bang_bang_06
SK_CHR029_NORMAL,SUPPORT,HEAL,audio_sfx_bang_fw_01,audio_sfx_bang_bang_07
SK_CHR029_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_fw_02,audio_sfx_bang_bang_07
SK_CHR031_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_fw_03,audio_sfx_bang_bang_07
SK_CHR031_ULTIMATE,SUPPORT,SHIELD,audio_sfx_bang_fw_04,audio_sfx_bang_bang_07
SK_CHR033_ULTIMATE,SUPPORT,BUFF,audio_sfx_bang_fw_05,audio_sfx_bang_bang_07
SK_CHR034_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_fw_06,audio_sfx_bang_bang_07
SK_CHR034_ULTIMATE,SUPPORT,SHIELD,audio_sfx_bang_shot_01,audio_sfx_bang_bang_07
SK_CHR036_NORMAL,SUPPORT,HEAL,audio_sfx_bang_shot_02,audio_sfx_bang_bang_07
SK_CHR036_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_shot_03,audio_sfx_bang_bang_07
SK_CHR039_ULTIMATE,SUPPORT,BUFF,audio_sfx_impact_metal_hit_03,audio_sfx_bang_bang_07
SK_CHR040_NORMAL,SUPPORT,HEAL,audio_sfx_impact_metal_hit_05,audio_sfx_bang_bang_07
SK_CHR040_ULTIMATE,SUPPORT,HEAL,audio_sfx_bang_fw_01,audio_sfx_bang_bang_08
SK_CHR043_NORMAL,SUPPORT,TAUNT,audio_sfx_bang_fw_02,audio_sfx_bang_bang_08
SK_CHR043_ULTIMATE,SUPPORT,SHIELD,audio_sfx_bang_fw_03,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS004:GATE_CLOSE,SUPPORT,BOSS_PATTERN_SUPPORT,audio_sfx_bang_fw_04,audio_sfx_bang_bang_08
BOSS_PATTERN:BOSS005:NETWORK_FORM,SUPPORT,BOSS_PATTERN_SUPPORT,audio_sfx_bang_fw_05,audio_sfx_bang_bang_08
