key,text
ITEM_ROLE_TOKEN_T1,ROLE_TOKEN_T1
ITEM_ROLE_TOKEN_T2,ROLE_TOKEN_T2
ITEM_ROLE_TOKEN_T3,ROLE_TOKEN_T3
ITEM_ROLE_TOKEN_T4,ROLE_TOKEN_T4
ITEM_SHARD_CHR001,SHARD_CHR001
ITEM_SHARD_CHR002,SHARD_CHR002
ITEM_SHARD_CHR003,SHARD_CHR003
ITEM_SHARD_CHR004,SHARD_CHR004
ITEM_SHARD_CHR005,SHARD_CHR005
ITEM_SHARD_CHR006,SHARD_CHR006
ITEM_SHARD_CHR007,SHARD_CHR007
ITEM_SHARD_CHR008,SHARD_CHR008
ITEM_SKILL_BOOK_T1,SKILL_BOOK_T1
ITEM_SKILL_BOOK_T2,SKILL_BOOK_T2
ITEM_SKILL_BOOK_T3,SKILL_BOOK_T3
ITEM_SKILL_BOOK_T4,SKILL_BOOK_T4
ITEM_SKILL_TOKEN_T1,SKILL_TOKEN_T1
ITEM_SKILL_TOKEN_T2,SKILL_TOKEN_T2
ITEM_SKILL_TOKEN_T3,SKILL_TOKEN_T3
ITEM_SKILL_TOKEN_T4,SKILL_TOKEN_T4
ITEM_TRAINING_NOTE_L,TRAINING_NOTE_L
ITEM_TRAINING_NOTE_M,TRAINING_NOTE_M
ITEM_TRAINING_NOTE_S,TRAINING_NOTE_S
ITEM_TRAINING_NOTE_XL,TRAINING_NOTE_XL
ITEM_ULT_BOOK_T1,ULT_BOOK_T1
ITEM_ULT_BOOK_T2,ULT_BOOK_T2
ITEM_ULT_BOOK_T3,ULT_BOOK_T3
ITEM_ULT_BOOK_T4,ULT_BOOK_T4
ITEM_UNIVERSAL_CATALYST,UNIVERSAL_CATALYST
ITEM_WEAPON_CHIP_L,WEAPON_CHIP_L
ITEM_WEAPON_CHIP_M,WEAPON_CHIP_M
ITEM_WEAPON_CHIP_S,WEAPON_CHIP_S
ITEM_WEAPON_CHIP_XL,WEAPON_CHIP_XL
ITEM_WEAPON_ORE_T1,WEAPON_ORE_T1
ITEM_WEAPON_ORE_T2,WEAPON_ORE_T2
ITEM_WEAPON_ORE_T3,WEAPON_ORE_T3
ITEM_WEAPON_ORE_T4,WEAPON_ORE_T4
SCENARIO_CH01_INTRO_TITLE,CH01_INTRO (DEV)
SCENARIO_CH01_MID_A_TITLE,CH01_MID_A (DEV)
SCENARIO_CH01_MID_B_TITLE,CH01_MID_B (DEV)
SCENARIO_CH01_MID_C_TITLE,CH01_MID_C (DEV)
SCENARIO_CH01_OUTRO_TITLE,CH01_OUTRO (DEV)
SCENARIO_CH01_PREBOSS_TITLE,CH01_PREBOSS (DEV)
SCENARIO_PROLOGUE_TITLE,PROLOGUE (DEV)
SCENARIO_REL_IRI_TITLE,REL_IRI (DEV)
SCENARIO_REL_MAERU_TITLE,REL_MAERU (DEV)
SKILL_EDA_NORMAL,CHR004 NORMAL Skill (DEV)
SKILL_EDA_PASSIVE,CHR004 PASSIVE Skill (DEV)
SKILL_EDA_ULTIMATE,CHR004 ULTIMATE Skill (DEV)
SKILL_IRI_NORMAL,CHR008 NORMAL Skill (DEV)
SKILL_IRI_PASSIVE,CHR008 PASSIVE Skill (DEV)
SKILL_IRI_ULTIMATE,CHR008 ULTIMATE Skill (DEV)
SKILL_MAERU_NORMAL,CHR001 NORMAL Skill (DEV)
SKILL_MAERU_PASSIVE,CHR001 PASSIVE Skill (DEV)
SKILL_MAERU_ULTIMATE,CHR001 ULTIMATE Skill (DEV)
SKILL_NARIN_NORMAL,CHR003 NORMAL Skill (DEV)
SKILL_NARIN_PASSIVE,CHR003 PASSIVE Skill (DEV)
SKILL_NARIN_ULTIMATE,CHR003 ULTIMATE Skill (DEV)
SKILL_ROAN_NORMAL,CHR002 NORMAL Skill (DEV)
SKILL_ROAN_PASSIVE,CHR002 PASSIVE Skill (DEV)
SKILL_ROAN_ULTIMATE,CHR002 ULTIMATE Skill (DEV)
SKILL_SOREN_NORMAL,CHR005 NORMAL Skill (DEV)
SKILL_SOREN_PASSIVE,CHR005 PASSIVE Skill (DEV)
SKILL_SOREN_ULTIMATE,CHR005 ULTIMATE Skill (DEV)
SKILL_TOA_NORMAL,CHR007 NORMAL Skill (DEV)
SKILL_TOA_PASSIVE,CHR007 PASSIVE Skill (DEV)
SKILL_TOA_ULTIMATE,CHR007 ULTIMATE Skill (DEV)
SKILL_VERA_NORMAL,CHR006 NORMAL Skill (DEV)
SKILL_VERA_PASSIVE,CHR006 PASSIVE Skill (DEV)
SKILL_VERA_ULTIMATE,CHR006 ULTIMATE Skill (DEV)
SPEAKER_MAERU,Maeru
SPEAKER_ROUTEKEEPER,Routekeeper
STAGE_CH01_H01,Chapter 1 HARD 1
STAGE_CH01_H02,Chapter 1 HARD 2
STAGE_CH01_H03,Chapter 1 HARD 3
STAGE_CH01_H04,Chapter 1 HARD 4
STAGE_CH01_H05,Chapter 1 HARD 5
STAGE_CH01_N01,Chapter 1 NORMAL 1
STAGE_CH01_N02,Chapter 1 NORMAL 2
STAGE_CH01_N03,Chapter 1 NORMAL 3
STAGE_CH01_N04,Chapter 1 NORMAL 4
STAGE_CH01_N05,Chapter 1 NORMAL 5
STAGE_CH01_N06,Chapter 1 NORMAL 6
STAGE_CH01_N07,Chapter 1 NORMAL 7
STAGE_CH01_N08,Chapter 1 NORMAL 8
STAGE_CH01_N09,Chapter 1 NORMAL 9
STAGE_CH01_N10,Chapter 1 NORMAL 10
STORY_C1A_01,[DEV EN] STORY_C1A_01
STORY_C1A_02,[DEV EN] STORY_C1A_02
STORY_C1A_03,[DEV EN] STORY_C1A_03
STORY_C1B_01,[DEV EN] STORY_C1B_01
STORY_C1B_02,[DEV EN] STORY_C1B_02
STORY_C1B_03,[DEV EN] STORY_C1B_03
STORY_C1C_01,[DEV EN] STORY_C1C_01
STORY_C1C_02,[DEV EN] STORY_C1C_02
STORY_C1C_03,[DEV EN] STORY_C1C_03
STORY_C1I_01,[DEV EN] STORY_C1I_01
STORY_C1I_02,[DEV EN] STORY_C1I_02
STORY_C1I_03,[DEV EN] STORY_C1I_03
STORY_OUT_01,[DEV EN] STORY_OUT_01
STORY_OUT_02,[DEV EN] STORY_OUT_02
STORY_OUT_03,[DEV EN] STORY_OUT_03
STORY_PRE_01,[DEV EN] STORY_PRE_01
STORY_PRE_02,[DEV EN] STORY_PRE_02
STORY_PRE_03,[DEV EN] STORY_PRE_03
STORY_PRO_01,[DEV EN] STORY_PRO_01
STORY_PRO_02,[DEV EN] STORY_PRO_02
STORY_PRO_03,[DEV EN] STORY_PRO_03
STORY_REL_I_01,[DEV EN] STORY_REL_I_01
STORY_REL_I_02,[DEV EN] STORY_REL_I_02
STORY_REL_I_03,[DEV EN] STORY_REL_I_03
STORY_REL_M_01,[DEV EN] STORY_REL_M_01
STORY_REL_M_02,[DEV EN] STORY_REL_M_02
STORY_REL_M_03,[DEV EN] STORY_REL_M_03
WEAPON_BLADE_V1,Common BLADE Gear WPN001 (DEV)
WEAPON_BLADE_V2,Common BLADE Gear WPN007 (DEV)
WEAPON_COMPACT_V1,Common COMPACT Gear WPN002 (DEV)
WEAPON_COMPACT_V2,Common COMPACT Gear WPN008 (DEV)
WEAPON_FOCUS_V1,Common FOCUS Gear WPN005 (DEV)
WEAPON_FOCUS_V2,Common FOCUS Gear WPN011 (DEV)
WEAPON_HEAVY_V1,Common HEAVY Gear WPN004 (DEV)
WEAPON_HEAVY_V2,Common HEAVY Gear WPN010 (DEV)
WEAPON_RIFLE_V1,Common RIFLE Gear WPN003 (DEV)
WEAPON_RIFLE_V2,Common RIFLE Gear WPN009 (DEV)
WEAPON_SUPPORT_DEVICE_V1,Common SUPPORT_DEVICE Gear WPN006 (DEV)
WEAPON_SUPPORT_DEVICE_V2,Common SUPPORT_DEVICE Gear WPN012 (DEV)
