id,name_key,description_key,gender,age_category,attire_policy,role,preferred_position,attack_type,defense_type,weapon_class,initial_rarity,level,breakthrough,normal_skill_id,passive_skill_id,ultimate_skill_id,asset_id,portrait_asset_id,icon_asset_id,attack_interval,attack_range,move_speed,threat_modifier,stats_l1,stats_l100,tags,acquisition_source
CHR011,CHAR_ADELINE_NAME,CHAR_ADELINE_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ARTILLERY,BACK,ANOMALY,WARD,HEAVY,3,1,0,SK_CHR011_NORMAL,SK_CHR011_PASSIVE,SK_CHR011_ULTIMATE,sd_chr011_dev,portrait_chr011_dev,icon_chr011_dev,1.545,7.0,3.2,1.0,"{""HP"":785,""ATK"":177,""DEF"":42,""ACC"":123,""EVA"":486,""CRIT"":89,""CRIT_RES"":50,""HEAL_POWER"":101,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6600,""ATK"":1329,""DEF"":288,""ACC"":313,""EVA"":576,""CRIT"":269,""CRIT_RES"":180,""HEAL_POWER"":787,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ARTILLERY,EVENT_CONTACT
CHR012,CHAR_KIR_NAME,CHAR_KIR_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,MIDDLE,ANOMALY,WARD,FOCUS,2,1,0,SK_CHR012_NORMAL,SK_CHR012_PASSIVE,SK_CHR012_ULTIMATE,sd_chr012_dev,portrait_chr012_dev,icon_chr012_dev,1.59,5.2,2.8,1.0,"{""HP"":745,""ATK"":116,""DEF"":47,""ACC"":123,""EVA"":505,""CRIT"":96,""CRIT_RES"":50,""HEAL_POWER"":90,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6280,""ATK"":902,""DEF"":318,""ACC"":313,""EVA"":595,""CRIT"":276,""CRIT_RES"":180,""HEAL_POWER"":710,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,EVENT_CONTACT
CHR013,CHAR_REMA_NAME,CHAR_REMA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,GUARDIAN,FRONT,ENERGY,ARMOR,HEAVY,3,1,0,SK_CHR013_NORMAL,SK_CHR013_PASSIVE,SK_CHR013_ULTIMATE,sd_chr013_dev,portrait_chr013_dev,icon_chr013_dev,1.635,1.8,3.0,1.8,"{""HP"":1258,""ATK"":109,""DEF"":87,""ACC"":105,""EVA"":474,""CRIT"":103,""CRIT_RES"":50,""HEAL_POWER"":91,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":10384,""ATK"":853,""DEF"":558,""ACC"":295,""EVA"":564,""CRIT"":283,""CRIT_RES"":180,""HEAL_POWER"":717,""HASTE"":12,""DAMAGE_REDUCTION"":6,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|GUARDIAN,EVENT_CONTACT
CHR014,CHAR_VEON_NAME,CHAR_VEON_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ASSAULT,MIDDLE,PHYSICAL,BARRIER,RIFLE,2,1,0,SK_CHR014_NORMAL,SK_CHR014_PASSIVE,SK_CHR014_ULTIMATE,sd_chr014_dev,portrait_chr014_dev,icon_chr014_dev,1.68,5.2,3.2,1.0,"{""HP"":791,""ATK"":156,""DEF"":45,""ACC"":129,""EVA"":539,""CRIT"":78,""CRIT_RES"":50,""HEAL_POWER"":86,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6648,""ATK"":1182,""DEF"":306,""ACC"":319,""EVA"":629,""CRIT"":258,""CRIT_RES"":180,""HEAL_POWER"":682,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ASSAULT,EVENT_CONTACT
CHR015,CHAR_HART_NAME,CHAR_HART_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ARTILLERY,BACK,ANOMALY,WARD,HEAVY,3,1,0,SK_CHR015_NORMAL,SK_CHR015_PASSIVE,SK_CHR015_ULTIMATE,sd_chr015_dev,portrait_chr015_dev,icon_chr015_dev,1.725,7.0,2.8,1.0,"{""HP"":749,""ATK"":171,""DEF"":40,""ACC"":121,""EVA"":482,""CRIT"":85,""CRIT_RES"":50,""HEAL_POWER"":95,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6312,""ATK"":1287,""DEF"":276,""ACC"":311,""EVA"":572,""CRIT"":265,""CRIT_RES"":180,""HEAL_POWER"":745,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ARTILLERY,EVENT_CONTACT
CHR016,CHAR_ORSA_NAME,CHAR_ORSA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,GUARDIAN,FRONT,ENERGY,ARMOR,HEAVY,2,1,0,SK_CHR016_NORMAL,SK_CHR016_PASSIVE,SK_CHR016_ULTIMATE,sd_chr016_dev,portrait_chr016_dev,icon_chr016_dev,1.77,1.8,3.0,1.8,"{""HP"":1312,""ATK"":118,""DEF"":90,""ACC"":108,""EVA"":480,""CRIT"":92,""CRIT_RES"":50,""HEAL_POWER"":100,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":10816,""ATK"":916,""DEF"":576,""ACC"":298,""EVA"":570,""CRIT"":272,""CRIT_RES"":180,""HEAL_POWER"":780,""HASTE"":12,""DAMAGE_REDUCTION"":6,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|GUARDIAN,EVENT_CONTACT
CHR017,CHAR_TIEL_NAME,CHAR_TIEL_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,MEDIC,BACK,ENERGY,BARRIER,SUPPORT_DEVICE,3,1,0,SK_CHR017_NORMAL,SK_CHR017_PASSIVE,SK_CHR017_ULTIMATE,sd_chr017_dev,portrait_chr017_dev,icon_chr017_dev,1.815,7.0,3.2,1.0,"{""HP"":905,""ATK"":99,""DEF"":57,""ACC"":121,""EVA"":500,""CRIT"":99,""CRIT_RES"":50,""HEAL_POWER"":161,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":7560,""ATK"":783,""DEF"":378,""ACC"":311,""EVA"":590,""CRIT"":279,""CRIT_RES"":180,""HEAL_POWER"":1207,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|MEDIC,EVENT_CONTACT
CHR018,CHAR_RIAS_NAME,CHAR_RIAS_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ASSAULT,MIDDLE,PHYSICAL,BARRIER,RIFLE,2,1,0,SK_CHR018_NORMAL,SK_CHR018_PASSIVE,SK_CHR018_ULTIMATE,sd_chr018_dev,portrait_chr018_dev,icon_chr018_dev,1.86,5.2,2.8,1.0,"{""HP"":755,""ATK"":150,""DEF"":43,""ACC"":127,""EVA"":535,""CRIT"":106,""CRIT_RES"":50,""HEAL_POWER"":80,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6360,""ATK"":1140,""DEF"":294,""ACC"":317,""EVA"":625,""CRIT"":286,""CRIT_RES"":180,""HEAL_POWER"":640,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ASSAULT,EVENT_CONTACT
CHR019,CHAR_PERIN_NAME,CHAR_PERIN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,MIDDLE,ANOMALY,WARD,FOCUS,3,1,0,SK_CHR019_NORMAL,SK_CHR019_PASSIVE,SK_CHR019_ULTIMATE,sd_chr019_dev,portrait_chr019_dev,icon_chr019_dev,1.905,5.2,3.0,1.0,"{""HP"":763,""ATK"":119,""DEF"":48,""ACC"":124,""EVA"":507,""CRIT"":81,""CRIT_RES"":50,""HEAL_POWER"":93,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6424,""ATK"":923,""DEF"":324,""ACC"":314,""EVA"":597,""CRIT"":261,""CRIT_RES"":180,""HEAL_POWER"":731,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,EVENT_CONTACT
CHR020,CHAR_KARN_NAME,CHAR_KARN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,VANGUARD,FRONT,PHYSICAL,ARMOR,BLADE,2,1,0,SK_CHR020_NORMAL,SK_CHR020_PASSIVE,SK_CHR020_ULTIMATE,sd_chr020_dev,portrait_chr020_dev,icon_chr020_dev,1.95,1.8,3.2,1.25,"{""HP"":1006,""ATK"":138,""DEF"":64,""ACC"":115,""EVA"":504,""CRIT"":88,""CRIT_RES"":50,""HEAL_POWER"":78,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8368,""ATK"":1056,""DEF"":420,""ACC"":305,""EVA"":594,""CRIT"":268,""CRIT_RES"":180,""HEAL_POWER"":626,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|VANGUARD,EVENT_CONTACT
CHR021,CHAR_NOAR_NAME,CHAR_NOAR_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,MEDIC,BACK,ENERGY,BARRIER,SUPPORT_DEVICE,3,1,0,SK_CHR021_NORMAL,SK_CHR021_PASSIVE,SK_CHR021_ULTIMATE,sd_chr021_dev,portrait_chr021_dev,icon_chr021_dev,1.995,7.0,2.8,1.0,"{""HP"":869,""ATK"":93,""DEF"":55,""ACC"":119,""EVA"":496,""CRIT"":95,""CRIT_RES"":50,""HEAL_POWER"":155,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":7272,""ATK"":741,""DEF"":366,""ACC"":309,""EVA"":586,""CRIT"":275,""CRIT_RES"":180,""HEAL_POWER"":1165,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|MEDIC,EVENT_CONTACT
CHR022,CHAR_SEB_NAME,CHAR_SEB_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,VANGUARD,FRONT,PHYSICAL,ARMOR,BLADE,2,1,0,SK_CHR022_NORMAL,SK_CHR022_PASSIVE,SK_CHR022_ULTIMATE,sd_chr022_dev,portrait_chr022_dev,icon_chr022_dev,2.04,1.8,3.0,1.25,"{""HP"":1042,""ATK"":144,""DEF"":66,""ACC"":117,""EVA"":508,""CRIT"":102,""CRIT_RES"":50,""HEAL_POWER"":84,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8656,""ATK"":1098,""DEF"":432,""ACC"":307,""EVA"":598,""CRIT"":282,""CRIT_RES"":180,""HEAL_POWER"":668,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|VANGUARD,EVENT_CONTACT
CHR023,CHAR_YURIEN_NAME,CHAR_YURIEN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ARTILLERY,BACK,ANOMALY,WARD,HEAVY,3,1,0,SK_CHR023_NORMAL,SK_CHR023_PASSIVE,SK_CHR023_ULTIMATE,sd_chr023_dev,portrait_chr023_dev,icon_chr023_dev,2.085,7.0,3.2,1.0,"{""HP"":785,""ATK"":177,""DEF"":42,""ACC"":123,""EVA"":486,""CRIT"":77,""CRIT_RES"":50,""HEAL_POWER"":101,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6600,""ATK"":1329,""DEF"":288,""ACC"":313,""EVA"":576,""CRIT"":257,""CRIT_RES"":180,""HEAL_POWER"":787,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ARTILLERY,EVENT_CONTACT
CHR024,CHAR_MOEN_NAME,CHAR_MOEN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,MIDDLE,ANOMALY,WARD,FOCUS,2,1,0,SK_CHR024_NORMAL,SK_CHR024_PASSIVE,SK_CHR024_ULTIMATE,sd_chr024_dev,portrait_chr024_dev,icon_chr024_dev,2.13,5.2,2.8,1.0,"{""HP"":745,""ATK"":116,""DEF"":47,""ACC"":123,""EVA"":505,""CRIT"":84,""CRIT_RES"":50,""HEAL_POWER"":90,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6280,""ATK"":902,""DEF"":318,""ACC"":313,""EVA"":595,""CRIT"":264,""CRIT_RES"":180,""HEAL_POWER"":710,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,EVENT_CONTACT
CHR025,CHAR_LAVENT_NAME,CHAR_LAVENT_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,GUARDIAN,FRONT,ENERGY,ARMOR,HEAVY,3,1,0,SK_CHR025_NORMAL,SK_CHR025_PASSIVE,SK_CHR025_ULTIMATE,sd_chr025_dev,portrait_chr025_dev,icon_chr025_dev,2.175,1.8,3.0,1.8,"{""HP"":1258,""ATK"":109,""DEF"":87,""ACC"":105,""EVA"":474,""CRIT"":91,""CRIT_RES"":50,""HEAL_POWER"":91,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":10384,""ATK"":853,""DEF"":558,""ACC"":295,""EVA"":564,""CRIT"":271,""CRIT_RES"":180,""HEAL_POWER"":717,""HASTE"":12,""DAMAGE_REDUCTION"":6,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|GUARDIAN,EVENT_CONTACT
CHR026,CHAR_KAIREN_NAME,CHAR_KAIREN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ASSAULT,MIDDLE,PHYSICAL,BARRIER,RIFLE,2,1,0,SK_CHR026_NORMAL,SK_CHR026_PASSIVE,SK_CHR026_ULTIMATE,sd_chr026_dev,portrait_chr026_dev,icon_chr026_dev,2.22,5.2,3.2,1.0,"{""HP"":791,""ATK"":156,""DEF"":45,""ACC"":129,""EVA"":539,""CRIT"":98,""CRIT_RES"":50,""HEAL_POWER"":86,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6648,""ATK"":1182,""DEF"":306,""ACC"":319,""EVA"":629,""CRIT"":278,""CRIT_RES"":180,""HEAL_POWER"":682,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ASSAULT,RESERVED
CHR027,CHAR_INOA_NAME,CHAR_INOA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,MIDDLE,ANOMALY,WARD,FOCUS,3,1,0,SK_CHR027_NORMAL,SK_CHR027_PASSIVE,SK_CHR027_ULTIMATE,sd_chr027_dev,portrait_chr027_dev,icon_chr027_dev,2.265,5.2,2.8,1.0,"{""HP"":799,""ATK"":125,""DEF"":50,""ACC"":126,""EVA"":511,""CRIT"":105,""CRIT_RES"":50,""HEAL_POWER"":99,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6712,""ATK"":965,""DEF"":336,""ACC"":316,""EVA"":601,""CRIT"":285,""CRIT_RES"":180,""HEAL_POWER"":773,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,RESERVED
CHR028,CHAR_DRAN_NAME,CHAR_DRAN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,VANGUARD,FRONT,PHYSICAL,ARMOR,BLADE,2,1,0,SK_CHR028_NORMAL,SK_CHR028_PASSIVE,SK_CHR028_ULTIMATE,sd_chr028_dev,portrait_chr028_dev,icon_chr028_dev,2.31,1.8,3.0,1.25,"{""HP"":1042,""ATK"":144,""DEF"":66,""ACC"":117,""EVA"":508,""CRIT"":80,""CRIT_RES"":50,""HEAL_POWER"":84,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8656,""ATK"":1098,""DEF"":432,""ACC"":307,""EVA"":598,""CRIT"":260,""CRIT_RES"":180,""HEAL_POWER"":668,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|VANGUARD,RESERVED
CHR029,CHAR_MERIN_NAME,CHAR_MERIN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,MEDIC,BACK,ENERGY,BARRIER,SUPPORT_DEVICE,3,1,0,SK_CHR029_NORMAL,SK_CHR029_PASSIVE,SK_CHR029_ULTIMATE,sd_chr029_dev,portrait_chr029_dev,icon_chr029_dev,2.355,7.0,3.2,1.0,"{""HP"":905,""ATK"":99,""DEF"":57,""ACC"":121,""EVA"":500,""CRIT"":87,""CRIT_RES"":50,""HEAL_POWER"":161,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":7560,""ATK"":783,""DEF"":378,""ACC"":311,""EVA"":590,""CRIT"":267,""CRIT_RES"":180,""HEAL_POWER"":1207,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|MEDIC,RESERVED
