id,name_key,gender,rank,role,attack_type,defense_type,level,stats,attack_interval,asset_id,patterns
BOSS002,ENEMY_NIGHT_BELL,GENDERLESS_NONHUMAN,BOSS,BOSS_PATTERN,ANOMALY,WARD,1,"{""HP"":8600,""ATK"":194,""DEF"":138,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_boss002_dev,"[{""condition"":""TIME"",""value"":14,""action"":""RESONANCE"",""damage_multiplier"":0.52},{""condition"":""TIME"",""value"":28,""action"":""RESONANCE"",""damage_multiplier"":0.88},{""condition"":""HP_BELOW"",""value"":0.48,""action"":""ENRAGE"",""outgoing_multiplier"":1.42}]"
ENM010,ENEMY_BROKENLINE_TRACKER,GENDERLESS_NONHUMAN,NORMAL,MELEE_RUSH,PHYSICAL,ARMOR,1,"{""HP"":590,""ATK"":86,""DEF"":34,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm010_dev,[]
ENM011,ENEMY_GLASS_TRANSMITTER,GENDERLESS_NONHUMAN,NORMAL,RANGED,ENERGY,BARRIER,1,"{""HP"":510,""ATK"":96,""DEF"":28,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm011_dev,[]
ENM012,ENEMY_AFTERGLOW_SCREEN,GENDERLESS_NONHUMAN,NORMAL,DEFENDER,ANOMALY,WARD,1,"{""HP"":820,""ATK"":66,""DEF"":74,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm012_dev,[]
BOSS003,ENEMY_WHITE_DAWN_OBSERVER,GENDERLESS_NONHUMAN,BOSS,BOSS_PATTERN,ENERGY,BARRIER,1,"{""HP"":9200,""ATK"":212,""DEF"":146,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_boss003_dev,"[{""condition"":""TIME"",""value"":12,""action"":""LOCK_ON"",""damage_multiplier"":1.18},{""condition"":""HP_BELOW"",""value"":0.6,""action"":""PHASE_2""},{""condition"":""TIME_LEFT_BELOW"",""value"":32,""action"":""OVERLOAD"",""damage_multiplier"":0.92}]"
ENM013,ENEMY_REVERSE_ELECTRODE,GENDERLESS_NONHUMAN,NORMAL,RANGED,ANOMALY,BARRIER,1,"{""HP"":640,""ATK"":108,""DEF"":35,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm013_dev,[]
ENM014,ENEMY_FALLEN_BATTERY,GENDERLESS_NONHUMAN,NORMAL,ARTILLERY,ENERGY,WARD,1,"{""HP"":600,""ATK"":122,""DEF"":31,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm014_dev,[]
ENM015,ENEMY_VACANT_CHORUS,GENDERLESS_NONHUMAN,NORMAL,BUFFER,ANOMALY,WARD,1,"{""HP"":690,""ATK"":78,""DEF"":48,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm015_dev,[]
BOSS004,ENEMY_REVERSE_GATEKEEPER,GENDERLESS_NONHUMAN,BOSS,BOSS_PATTERN,ENERGY,ARMOR,1,"{""HP"":10800,""ATK"":232,""DEF"":162,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_boss004_dev,"[{""condition"":""TIME"",""value"":16,""action"":""GATE_CLOSE"",""shield_multiplier"":0.64},{""condition"":""HP_BELOW"",""value"":0.55,""action"":""PHASE_2""},{""condition"":""TIME_LEFT_BELOW"",""value"":24,""action"":""GATE_REVERSE"",""damage_multiplier"":0.86}]"
BOSS005,ENEMY_RETURN_FORMATION_CORE,GENDERLESS_NONHUMAN,BOSS,BOSS_PATTERN,ANOMALY,BARRIER,1,"{""HP"":12400,""ATK"":254,""DEF"":176,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_boss005_dev,"[{""condition"":""TIME"",""value"":10,""action"":""NETWORK_FORM"",""heal_multiplier"":0.18},{""condition"":""HP_BELOW"",""value"":0.58,""action"":""PHASE_2""},{""condition"":""TIME_LEFT_BELOW"",""value"":18,""action"":""NETWORK_COLLAPSE"",""damage_multiplier"":1.1}]"
