key,text
ITEM_TRAINING_NOTE_M,TRAINING_NOTE_M
ITEM_TRAINING_NOTE_S,TRAINING_NOTE_S
ITEM_TRAINING_NOTE_XL,TRAINING_NOTE_XL
ITEM_ULT_BOOK_T1,ULT_BOOK_T1
ITEM_ULT_BOOK_T2,ULT_BOOK_T2
ITEM_ULT_BOOK_T3,ULT_BOOK_T3
ITEM_ULT_BOOK_T4,ULT_BOOK_T4
ITEM_UNIVERSAL_CATALYST,UNIVERSAL_CATALYST
ITEM_WEAPON_CHIP_L,WEAPON_CHIP_L
ITEM_WEAPON_CHIP_M,WEAPON_CHIP_M
ITEM_WEAPON_CHIP_S,WEAPON_CHIP_S
ITEM_WEAPON_CHIP_XL,WEAPON_CHIP_XL
ITEM_WEAPON_ORE_T1,WEAPON_ORE_T1
ITEM_WEAPON_ORE_T2,WEAPON_ORE_T2
ITEM_WEAPON_ORE_T3,WEAPON_ORE_T3
ITEM_WEAPON_ORE_T4,WEAPON_ORE_T4
SCENARIO_CH01_INTRO_TITLE,CH01 INTRO
SCENARIO_CH01_MID_A_TITLE,CH01 MID A
SCENARIO_CH01_MID_B_TITLE,CH01 MID B
SCENARIO_CH01_MID_C_TITLE,CH01 MID C
SCENARIO_CH01_OUTRO_TITLE,CH01 OUTRO
SCENARIO_CH01_PREBOSS_TITLE,CH01 PREBOSS
SCENARIO_PROLOGUE_TITLE,PROLOGUE
SCENARIO_REL_IRI_TITLE,REL IRI
SCENARIO_REL_MAERU_TITLE,REL MAERU
SKILL_EDA_NORMAL,Eda Normal Skill
SKILL_EDA_PASSIVE,Eda Passive Skill
SKILL_EDA_ULTIMATE,Eda Ultimate Skill
SKILL_IRI_NORMAL,Iri Normal Skill
SKILL_IRI_PASSIVE,Iri Passive Skill
SKILL_IRI_ULTIMATE,Iri Ultimate Skill
SKILL_MAERU_NORMAL,Maeru Normal Skill
SKILL_MAERU_PASSIVE,Maeru Passive Skill
SKILL_MAERU_ULTIMATE,Maeru Ultimate Skill
SKILL_NARIN_NORMAL,Narin Normal Skill
SKILL_NARIN_PASSIVE,Narin Passive Skill
SKILL_NARIN_ULTIMATE,Narin Ultimate Skill
SKILL_ROAN_NORMAL,Roan Normal Skill
SKILL_ROAN_PASSIVE,Roan Passive Skill
SKILL_ROAN_ULTIMATE,Roan Ultimate Skill
SKILL_SOREN_NORMAL,Soren Normal Skill
SKILL_SOREN_PASSIVE,Soren Passive Skill
SKILL_SOREN_ULTIMATE,Soren Ultimate Skill
SKILL_TOA_NORMAL,Toa Normal Skill
SKILL_TOA_PASSIVE,Toa Passive Skill
SKILL_TOA_ULTIMATE,Toa Ultimate Skill
SKILL_VERA_NORMAL,Vera Normal Skill
SKILL_VERA_PASSIVE,Vera Passive Skill
SKILL_VERA_ULTIMATE,Vera Ultimate Skill
SPEAKER_MAERU,Maeru
SPEAKER_ROUTEKEEPER,Routekeeper
STAGE_CH01_H01,Chapter 1 HARD 1
STAGE_CH01_H02,Chapter 1 HARD 2
STAGE_CH01_H03,Chapter 1 HARD 3
STAGE_CH01_H04,Chapter 1 HARD 4
STAGE_CH01_H05,Chapter 1 HARD 5
STAGE_CH01_N01,Chapter 1 NORMAL 1
STAGE_CH01_N02,Chapter 1 NORMAL 2
STAGE_CH01_N03,Chapter 1 NORMAL 3
STAGE_CH01_N04,Chapter 1 NORMAL 4
STAGE_CH01_N05,Chapter 1 NORMAL 5
STAGE_CH01_N06,Chapter 1 NORMAL 6
STAGE_CH01_N07,Chapter 1 NORMAL 7
STAGE_CH01_N08,Chapter 1 NORMAL 8
STAGE_CH01_N09,Chapter 1 NORMAL 9
STAGE_CH01_N10,Chapter 1 NORMAL 10
STORY_C1A_01,[DEV EN] STORY_C1A_01
STORY_C1A_02,[DEV EN] STORY_C1A_02
STORY_C1A_03,[DEV EN] STORY_C1A_03
STORY_C1B_01,[DEV EN] STORY_C1B_01
STORY_C1B_02,[DEV EN] STORY_C1B_02
STORY_C1B_03,[DEV EN] STORY_C1B_03
STORY_C1C_01,[DEV EN] STORY_C1C_01
STORY_C1C_02,[DEV EN] STORY_C1C_02
STORY_C1C_03,[DEV EN] STORY_C1C_03
STORY_C1I_01,[DEV EN] STORY_C1I_01
STORY_C1I_02,[DEV EN] STORY_C1I_02
STORY_C1I_03,[DEV EN] STORY_C1I_03
STORY_OUT_01,[DEV EN] STORY_OUT_01
STORY_OUT_02,[DEV EN] STORY_OUT_02
STORY_OUT_03,[DEV EN] STORY_OUT_03
STORY_PRE_01,[DEV EN] STORY_PRE_01
STORY_PRE_02,[DEV EN] STORY_PRE_02
STORY_PRE_03,[DEV EN] STORY_PRE_03
STORY_PRO_01,[DEV EN] STORY_PRO_01
STORY_PRO_02,[DEV EN] STORY_PRO_02
STORY_PRO_03,[DEV EN] STORY_PRO_03
STORY_REL_I_01,[DEV EN] STORY_REL_I_01
STORY_REL_I_02,[DEV EN] STORY_REL_I_02
STORY_REL_I_03,[DEV EN] STORY_REL_I_03
STORY_REL_M_01,[DEV EN] STORY_REL_M_01
STORY_REL_M_02,[DEV EN] STORY_REL_M_02
STORY_REL_M_03,[DEV EN] STORY_REL_M_03
WEAPON_BLADE_V1,Common BLADE Gear WPN001
WEAPON_BLADE_V2,Common BLADE Gear WPN007
WEAPON_COMPACT_V1,Common COMPACT Gear WPN002
WEAPON_COMPACT_V2,Common COMPACT Gear WPN008
WEAPON_FOCUS_V1,Common FOCUS Gear WPN005
WEAPON_FOCUS_V2,Common FOCUS Gear WPN011
WEAPON_HEAVY_V1,Common HEAVY Gear WPN004
WEAPON_HEAVY_V2,Common HEAVY Gear WPN010
WEAPON_RIFLE_V1,Common RIFLE Gear WPN003
WEAPON_RIFLE_V2,Common RIFLE Gear WPN009
WEAPON_SUPPORT_DEVICE_V1,Common SUPPORT_DEVICE Gear WPN006
WEAPON_SUPPORT_DEVICE_V2,Common SUPPORT_DEVICE Gear WPN012
